account_id,account_name,account_handle,account_verified,page_created_date,account_subscriber_count,account_language_code,account_language,admin_location_code,admin_location,last_onboarding,first_recorded_monetization,last_recorded_monetization,facebook_instant_articles_session_count,facebook_in_stream_ads_session_count,facebook_ads_on_reels_session_count,facebook_content_monetization_session_count
464568550244576,Yo amo la Musica PR.com,Laradiopr,true,2012-08-27,10459430,spa,Spanish,SV,El Salvador,2025-12-05,2020-03-15,2026-01-10,0,8,2,2
40705356712,Renuevo de Plenitud,Renuevo.Plenitud,true,2008-08-16,7463338,spa,Spanish,CR,Costa Rica,2025-09-02,2020-07-29,2026-01-10,0,4,2,1
100322591668687,Perez lopez isaac,lopezisaac123,false,2020-04-23,6742216,spa,Spanish,GT,Guatemala,2025-09-02,2020-07-26,2026-01-10,0,6,6,1
106371655363586,Alfredo larin,,false,2022-03-29,5949817,eng,English,SV,El Salvador,2025-09-02,2022-12-27,2026-01-10,0,4,5,1
111568212199245,Noti7,Noti7,true,2010-04-09,5554421,spa,Spanish,GT,Guatemala,2025-09-02,2019-11-07,2026-01-10,0,5,5,1
246915825989322,Richard Gabriel,soycatolicoyamoalavirgenMaria.2,false,2018-10-31,4599547,spa,Spanish,GT,Guatemala,2025-09-02,2019-09-25,2026-01-10,0,5,7,1
105810960985055,Araya Vlogs,arayavlogs,true,2020-02-02,4454038,spa,Spanish,CR,Costa Rica,2025-09-02,2021-04-18,2026-01-10,0,4,3,1
440634342631499,FM no puedo vivir sin música,lider1045,true,2012-05-24,4072416,spa,Spanish,CR,Costa Rica,2025-09-02,2019-09-25,2026-01-10,0,6,1,1
108428450985056,Anabella de Constanza,anabellaaleman95,false,2020-08-26,3961988,spa,Spanish,SV,El Salvador,2025-09-02,2022-02-26,2026-01-10,0,2,3,1
1259054427513926,Yuslaidy  de Ruano,yuslaidynails,false,2017-02-24,3891511,spa,Spanish,GT,Guatemala,2025-09-02,2020-10-25,2026-01-10,0,2,2,1
345419408148,Prensa Libre,prensalibregt,true,2010-03-06,3736569,spa,Spanish,GT,Guatemala,2025-09-02,2019-01-09,2026-01-10,1,2,2,1
1075516225796836,Yo Amo A La Virgen María,jorge.gomezgiron,false,2009-10-29,3655360,spa,Spanish,GT,Guatemala,2025-09-02,2019-09-25,2026-01-10,0,6,5,1
2572202199464754,Pensamientos.,Pensamientos10M,false,2019-05-19,3496085,spa,Spanish,GT,Guatemala,2025-10-29,2023-01-25,2026-01-10,0,4,4,2
111535845575380,Telediario,Telediariogt,true,2010-10-19,3294496,spa,Spanish,GT,Guatemala,2025-09-02,2019-09-25,2026-01-10,0,5,3,1
697680787080993,Música del Ayer en Directo,musicadelayerdirecto,false,2017-02-26,3272003,spa,Spanish,HN,Honduras,2025-09-02,2019-09-25,2026-01-10,0,4,2,1
124397516812,Enlace,enlacetv,true,2009-08-18,3214220,spa,Spanish,CR,Costa Rica,2025-09-02,2020-04-22,2026-01-10,0,8,2,1
131793653512148,Diario La Prensa,diariolaprensahonduras,true,2010-06-20,3165427,spa,Spanish,HN,Honduras,2025-09-02,2020-05-29,2026-01-10,9,12,7,1
685349548164110,Poeta del Cielo,poetadelcielo,true,2013-11-19,3008213,spa,Spanish,GT,Guatemala,2025-09-02,2019-09-25,2026-01-10,0,3,3,1
1586183191616051,Japón And More,JaponAndMore,false,2015-01-04,2798872,spa,Spanish,HN,Honduras,2025-09-02,2019-09-25,2026-01-10,5,11,7,1
161369307699195,Horóscopo Network,horoscoponetwork,false,2017-02-11,2789490,spa,Spanish,SV,El Salvador,2025-09-02,2020-01-27,2026-01-10,0,5,2,1
1438521399757852,David Godoy,eldavidgodoy,false,2014-07-17,2750642,spa,Spanish,GT,Guatemala,2025-09-02,2024-07-17,2026-01-10,0,1,1,1
743619912365486,Ministerio Evangelistico Internacional 1+ Para Cristo,1masparacristooficial,false,2014-08-07,2699038,spa,Spanish,GT,Guatemala,2025-09-02,2021-09-26,2026-01-10,0,4,4,1
1268536096619196,Aventuras Plus,aventuraspluss,false,2019-03-21,2686100,spa,Spanish,SV,El Salvador,2025-09-02,2019-12-03,2026-01-10,0,1,3,1
